condition,robot_id,migration_event_id,timestamp,trigger_to_dump_ms,dump_to_transfer_ms,transfer_to_restore_ms,policy_load_ms,downtime_ms,total_MTT_ms,success_rate_pre,success_rate_post,regression_pct,fl_rounds_to_recover,replay_buffer_entries_restored,gpu_util_pre_migration,gpu_util_during_migration,gpu_util_post_migration,cpu_util_pre_migration,cpu_util_during_migration,cpu_util_post_migration,network_bytes_transferred,checkpoint_size_mb,criu_mode

dht_frl,robot_000,1,1777348960.3315609,7151.787548998982,0.9860889986157417,347.2523769996769,1.55,348.80237699967694,7842.273604997899,1.0,1.0,0.0,0,200,0.01,0.01,0.0,0.612,0.612,0.0,578332,0.0,unified
dht_frl,robot_001,2,1777348971.476989,7677.192103001289,0.8837469977152068,356.3769710017368,1.53,357.9069710017368,8538.082107999799,1.0,1.0,0.0,0,225,0.04,0.04,0.0,0.49,0.4,0.004,862335,0.0,unified
dht_frl,robot_002,3,1777348982.0372117,6399.366116998863,0.8729770015634131,348.3321130006516,1.73,350.0621130006516,6950.836815001821,1.0,1.0,0.0,0,250,0.14,0.14,0.0,0.397,0.444,0.008,734222,0.0,unified
dht_frl,robot_003,4,1777348995.364564,8518.044262997137,0.8726760024728719,295.3161810000893,1.73,297.0461810000893,9217.340999002772,1.0,1.0,0.0,0,275,0.04,0.04,0.0,0.41200000000000003,0.379,0.154,240590,0.0,unified
dht_frl,robot_004,5,1777349009.1392279,7718.821064001531,0.7912340006441809,339.1627399978461,3.98,343.1427399978461,8662.218366000161,1.0,1.0,0.0,0,300,0.0,0.0,0.0,0.25,0.40399999999999997,0.075,547610,0.0,unified
dht_frl,robot_005,6,1777349022.344139,7232.826842002396,0.7829479982319754,357.7217940000992,1.39,359.11179400009917,8094.285160001164,1.0,1.0,0.0,0,325,0.11,0.11,0.01,0.31,0.353,0.08,467846,0.0,unified
dht_frl,robot_006,7,1777349035.5445058,6701.6449389993795,0.7467899995390326,381.4829959992494,1.5,382.9829959992494,7586.8938459971105,1.0,1.0,0.0,0,350,0.05,0.05,0.01,0.221,0.342,0.16699999999999998,1008227,0.0,unified
dht_frl,robot_007,8,1777349047.8498714,5708.69220700115,0.8249870006693527,377.73348499831627,1.45,379.18348499831626,6690.738735000195,1.0,1.0,0.0,0,375,0.03,0.03,0.03,0.013000000000000001,0.008,0.158,366662,0.0,unified
dht_frl,robot_000,9,1777349061.1720123,7490.026860999933,0.8294260005641263,316.5949710019049,1.45,318.0449710019049,8211.336907999794,1.0,1.0,0.0,0,400,0.0,0.13,0.0,0.47700000000000004,0.521,0.021,867551,0.0,unified
dht_frl,robot_001,10,1777349070.793101,6443.032965999009,0.9222289991157595,267.2501609995379,1.39,268.6401609995379,7014.084073001868,1.0,1.0,0.0,0,425,0.12,0.12,0.06,0.442,0.423,0.017,526381,0.0,unified
